symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
BTC,BUY,LIMIT,IOC,0.007,93937.76,93578.00,FILLED,0.007,0.007,1746022918291,657.56432
BTC,BUY,LIMIT,IOC,0.005,93947.46,93564.40,FILLED,0.005,0.005,1746022919394,469.73730000000006
ETH,BUY,LIMIT,IOC,0.169,1760.78,1753.80,FILLED,0.169,0.169,1746022919460,297.57182
ETH,BUY,LIMIT,IOC,0.097,1761.81,1754.86,FILLED,0.097,0.097,1746022950077,170.89557
AIOT,SELL,LIMIT,IOC,67,0.2808926,0.2839300,FILLED,67,67,1746022950276,18.8198042
AIOT,BUY,LIMIT,IOC,432,0.2905314,0.2841300,FILLED,432,432,1746022952074,125.50956479999999
BABY,BUY,LIMIT,IOC,5072,0.0978925,0.0963609,FILLED,468,5072,1746022952429,496.51075999999995
SUI,BUY,LIMIT,IOC,53.9,3.394899,3.361644,FILLED,24.1,53.9,1746022955322,182.9850561
AIOT,SELL,LIMIT,IOC,823,0.2787786,0.2815899,FILLED,14,823,1746022962108,229.43478779999998
SUI,BUY,LIMIT,IOC,7.0,3.398257,3.366500,FILLED,1.7,7.0,1746022967094,23.787799
CTK,SELL,LIMIT,IOC,40,0.4523494,0.4547000,FILLED,40,40,1746022967540,18.093976
AIOT,SELL,LIMIT,IOC,145,0.2763996,0.2817700,FILLED,145,145,1746022968141,40.077942
DEEP,BUY,LIMIT,IOC,1649,0.1847889,0.1822800,FILLED,1267,1649,1746022969516,304.7168961
AIOT,BUY,LIMIT,IOC,328,0.2872441,0.2824760,FILLED,3,328,1746022971090,94.2160648
ETH,BUY,LIMIT,IOC,0.017,1761.97,1754.47,FILLED,0.017,0.017,1746022971160,29.953490000000002
BTC,BUY,LIMIT,IOC,0.007,93966.15,93598.80,FILLED,0.007,0.007,1746022973283,657.76305
SUI,BUY,LIMIT,IOC,69.7,3.401125,3.368100,FILLED,40.0,69.7,1746022973479,237.0584125
BTC,BUY,LIMIT,IOC,0.007,93972.91,93599.00,FILLED,0.007,0.007,1746022975088,657.81037
BTC,BUY,LIMIT,IOC,0.026,93985.19,93611.60,FILLED,0.026,0.026,1746022978171,2443.61494
ETH,BUY,LIMIT,IOC,0.374,1762.99,1756.41,FILLED,0.374,0.374,1746022979470,659.35826
ETH,BUY,LIMIT,IOC,0.415,1763.39,1756.22,FILLED,0.415,0.415,1746022980592,731.80685
SUI,BUY,LIMIT,IOC,108.2,3.402097,3.368700,FILLED,108.2,108.2,1746022980610,368.1068954
AIOT,BUY,LIMIT,IOC,81,0.2877742,0.2819900,FILLED,81,81,1746022981629,23.309710199999998
1000PEPE,BUY,LIMIT,IOC,14468,0.0086844,0.0086258,FILLED,8065,14468,1746022982453,125.6458992
AIOT,BUY,LIMIT,IOC,2026,0.2875835,0.2823250,FILLED,227,2026,1746022983216,582.644171
SIGN,BUY,LIMIT,IOC,3400,0.0941226,0.0931600,FILLED,1972,3400,1746022986101,320.01684
SKL,BUY,LIMIT,IOC,2328,0.02318,0.02296,FILLED,2328,2328,1746022986624,53.96304
1000BONK,BUY,LIMIT,IOC,2832,0.0187496,0.0185660,FILLED,2832,2832,1746022988355,53.09886720000001
DOGE,BUY,LIMIT,IOC,1051,0.170413,0.169600,FILLED,35,1051,1746022989142,179.104063
BTC,BUY,LIMIT,IOC,0.020,93998.34,93639.60,FILLED,0.020,0.020,1746022990062,1879.9668
TRUMP,BUY,LIMIT,IOC,3.00,12.490670,12.368000,FILLED,3.00,3.00,1746022990618,37.47201
DOGE,BUY,LIMIT,IOC,15798,0.170463,0.169720,FILLED,9884,15798,1746022993298,2692.974474
1000PEPE,BUY,LIMIT,IOC,39947,0.0086894,0.0086322,FILLED,39947,39947,1746022994133,347.1154618
DOGE,BUY,LIMIT,IOC,132,0.170551,0.169740,FILLED,132,132,1746022994479,22.512732
ETH,BUY,LIMIT,IOC,0.012,1763.96,1757.20,FILLED,0.012,0.012,1746022996048,21.16752
SOL,BUY,LIMIT,IOC,0.22,142.3659,141.6900,FILLED,0.22,0.22,1746022996068,31.320498000000004
TRUMP,BUY,LIMIT,IOC,60.77,12.503078,12.384000,FILLED,60.77,60.77,1746022996106,759.81205006
SUI,BUY,LIMIT,IOC,610.2,3.410816,3.379621,FILLED,67.1,610.2,1746022996131,2081.2799232
SIGN,BUY,LIMIT,IOC,257,0.0943462,0.0934400,FILLED,257,257,1746022996307,24.2469734
BTC,BUY,LIMIT,IOC,0.028,94025.74,93670.10,FILLED,0.028,0.028,1746022997047,2632.7207200000003
SUI,BUY,LIMIT,IOC,78.2,3.411729,3.381600,FILLED,68.6,78.2,1746022997292,266.79720779999997
SIGN,BUY,LIMIT,IOC,1059,0.0943656,0.0935000,FILLED,696,1059,1746022997417,99.9331704
1000SHIB,BUY,LIMIT,IOC,7742,0.013113,0.013038,FILLED,7742,7742,1746022998057,101.52084599999999
BTC,BUY,LIMIT,IOC,0.007,94042.88,93763.30,FILLED,0.007,0.007,1746022998083,658.30016
ETH,BUY,LIMIT,IOC,0.418,1764.25,1758.51,FILLED,0.418,0.418,1746022998375,737.4565
ALPHA,BUY,LIMIT,IOC,9881,0.03257,0.03217,FILLED,9881,9881,1746022998406,321.82417000000004
VIRTUAL,BUY,LIMIT,IOC,374.8,1.2808000,1.2696000,FILLED,9.3,374.8,1746022998406,480.04384
SOL,BUY,LIMIT,IOC,6.48,142.4334,141.8000,FILLED,6.48,6.48,1746022998425,922.9684320000001
TRUMP,BUY,LIMIT,IOC,3.13,12.513926,12.404000,FILLED,3.13,3.13,1746022998432,39.168588379999996
ETHUSDC,BUY,LIMIT,IOC,1.429,1765.34,1758.81,FILLED,0.672,1.429,1746022998578,2522.67086
SUI,BUY,LIMIT,IOC,38.1,3.412489,3.382500,FILLED,38.1,38.1,1746022998638,130.0158309
MOVE,BUY,LIMIT,IOC,1556,0.2410408,0.2390000,FILLED,1441,1556,1746022998745,375.0594848
ADA,BUY,LIMIT,IOC,745,0.67872,0.67570,FILLED,347,745,1746022998766,505.64639999999997
BTC,BUY,LIMIT,IOC,0.004,94098.20,93768.80,FILLED,0.004,0.004,1746022999155,376.3928
OM,BUY,LIMIT,IOC,782.9,0.4836508,0.4793788,FILLED,134.5,782.9,1746022999221,378.65021132
ETH,BUY,LIMIT,IOC,1.450,1765.04,1758.50,FILLED,1.450,1.450,1746022999404,2559.308
TURBO,BUY,LIMIT,IOC,80654,0.0043897,0.0043491,FILLED,61,80654,1746022999496,354.0468638
SHELL,BUY,LIMIT,IOC,3727,0.2363735,0.2320000,FILLED,219,3727,1746022999526,880.9640344999999
BTCUSDC,BUY,LIMIT,IOC,0.007,94120.7,93771.9,FILLED,0.007,0.007,1746023000165,658.8448999999999
BTC,BUY,LIMIT,IOC,0.003,94108.62,93762.90,FILLED,0.003,0.003,1746023000187,282.32586
BABY,BUY,LIMIT,IOC,2440,0.0980755,0.0969500,FILLED,286,2440,1746023000216,239.30422
1000PEPE,BUY,LIMIT,IOC,15579,0.0087012,0.0086508,FILLED,15579,15579,1746023000359,135.55599479999998
ETH,BUY,LIMIT,IOC,0.170,1765.52,1758.80,FILLED,0.170,0.170,1746023000434,300.1384
SUI,BUY,LIMIT,IOC,36.3,3.414133,3.386700,FILLED,36.3,36.3,1746023000444,123.9330279
ALGO,BUY,LIMIT,IOC,495.4,0.2189,0.2171,FILLED,495.4,495.4,1746023000497,108.44306
SUIUSDC,BUY,LIMIT,IOC,156.0,3.414407,3.387281,FILLED,36.3,156.0,1746023000499,532.647492
TRUMP,BUY,LIMIT,IOC,117.18,12.520645,12.411000,FILLED,79.63,117.18,1746023000510,1467.1691811
BNB,BUY,LIMIT,IOC,0.31,597.530,594.710,FILLED,0.31,0.31,1746023000669,185.2343
NEAR,BUY,LIMIT,IOC,94,2.4465,2.4290,FILLED,94,94,1746023001076,229.971
WLDUSDC,BUY,LIMIT,IOC,99.3,1.0326971,1.0275700,FILLED,99.3,99.3,1746023001181,102.54682203
BTC,BUY,LIMIT,IOC,0.003,94127.76,93762.50,FILLED,0.003,0.003,1746023001228,282.38328
TAO,BUY,LIMIT,IOC,1.008,349.96,346.56,FILLED,1.008,1.008,1746023001294,352.75968
INIT,BUY,LIMIT,IOC,246,0.7651849,0.7590000,FILLED,115,246,1746023001353,188.2354854
TRUMP,BUY,LIMIT,IOC,81.95,12.532917,12.407000,FILLED,29.49,81.95,1746023002163,1027.0725481499999
ETH,BUY,LIMIT,IOC,0.505,1765.92,1759.02,FILLED,0.505,0.505,1746023002254,891.7896000000001
VIRTUAL,BUY,LIMIT,IOC,724.7,1.2820735,1.2708000,FILLED,152.9,724.7,1746023002314,929.1186654500001
INIT,BUY,LIMIT,IOC,29,0.7663506,0.7590000,FILLED,29,29,1746023002463,22.2241674
SIGN,BUY,LIMIT,IOC,1172,0.0945626,0.0935700,FILLED,816,1172,1746023002659,110.8273672
SUI,BUY,LIMIT,IOC,69.5,3.418847,3.383700,FILLED,69.5,69.5,1746023003482,237.6098665
AVAX,BUY,LIMIT,IOC,1,20.8420,20.7370,FILLED,1,1,1746023003508,20.842
ENA,BUY,LIMIT,IOC,399,0.3130872,0.3100000,FILLED,399,399,1746023003614,124.9217928
ALPHA,BUY,LIMIT,IOC,9996,0.03272,0.03224,FILLED,3044,9996,1746023004064,327.06912
ETH,BUY,LIMIT,IOC,0.038,1766.34,1759.60,FILLED,0.038,0.038,1746023008165,67.12092
BTC,BUY,LIMIT,IOC,0.002,94136.22,93769.60,FILLED,0.002,0.002,1746023008446,188.27244000000002
SOL,BUY,LIMIT,IOC,0.31,142.4816,141.7800,FILLED,0.31,0.31,1746023008446,44.169295999999996
VIRTUAL,BUY,LIMIT,IOC,368.6,1.2839666,1.2729000,FILLED,63.4,368.6,1746023009312,473.2700887600001
PENDLE,BUY,LIMIT,IOC,48,3.3182679,3.2861625,FILLED,15,48,1746023009312,159.2768592
