symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
INIT,BUY,LIMIT,IOC,43,0.6731774,0.6683000,FILLED,43,43,1745514205066,28.946628200000003
TRUMP,SELL,LIMIT,IOC,17.27,12.134345,12.255000,FILLED,9.02,17.27,1745514205069,209.56013815
ZEREBRO,SELL,LIMIT,IOC,8505,0.0735914,0.0742249,FILLED,749,8505,1745514205156,625.894857
MELANIA,SELL,LIMIT,IOC,42.48,0.451087,0.460251,FILLED,20.74,42.48,1745514205187,19.16217576
INIT,BUY,LIMIT,IOC,862,0.6754366,0.6691486,FILLED,409,862,1745514207182,582.2263492000001
ZEREBRO,SELL,LIMIT,IOC,3414,0.0732581,0.0738900,FILLED,3414,3414,1745514207592,250.10315340000002
DOT,SELL,LIMIT,IOC,22.5,4.190,4.216,FILLED,20.0,22.5,1745514208569,94.275
ZEREBRO,SELL,LIMIT,IOC,333,0.0730687,0.0737200,FILLED,333,333,1745514209441,24.3318771
SUI,BUY,LIMIT,IOC,45.0,3.404493,3.371200,FILLED,45.0,45.0,1745514210559,153.202185
ETH,BUY,LIMIT,IOC,0.061,1777.79,1770.72,FILLED,0.061,0.061,1745514210559,108.44519
1000PEPE,BUY,LIMIT,IOC,11160,0.0088005,0.0087399,FILLED,11160,11160,1745514210559,98.21358
LINK,BUY,LIMIT,IOC,3.40,15.127,15.053,FILLED,3.40,3.40,1745514210559,51.4318
1000FLOKI,BUY,LIMIT,IOC,444,0.0710329,0.0703300,FILLED,444,444,1745514210559,31.5386076
ZEREBRO,SELL,LIMIT,IOC,166,0.0730644,0.0738800,FILLED,166,166,1745514211178,12.1286904
CETUS,BUY,LIMIT,IOC,1036,0.1766776,0.1749700,FILLED,1036,1036,1745514213236,183.0379936
INIT,BUY,LIMIT,IOC,3262,0.6777622,0.6728089,FILLED,183,3262,1745514215210,2210.8602964
ZEREBRO,SELL,LIMIT,IOC,1360,0.0729558,0.0732700,FILLED,1360,1360,1745514217128,99.219888
INIT,BUY,LIMIT,IOC,342,0.6790606,0.6735909,FILLED,133,342,1745514217304,232.2387252
ZEREBRO,SELL,LIMIT,IOC,298,0.0729121,0.0731900,FILLED,298,298,1745514218148,21.7278058
NEIROETH,SELL,LIMIT,IOC,9194,0.0662942,0.0667576,FILLED,991,9194,1745514218326,609.5088748
SUI,BUY,LIMIT,IOC,39.8,3.407123,3.374900,FILLED,4.5,39.8,1745514219066,135.60349539999999
ZEREBRO,SELL,LIMIT,IOC,74,0.0726566,0.0731100,FILLED,74,74,1745514219379,5.3765884
SUI,BUY,LIMIT,IOC,250.4,3.407872,3.374700,FILLED,3.2,250.4,1745514222324,853.3311487999999
SUI,BUY,LIMIT,IOC,133.8,3.408338,3.375800,FILLED,73.0,133.8,1745514224061,456.0356244000001
NEAR,BUY,LIMIT,IOC,133,2.5705,2.5450,FILLED,97,133,1745514224213,341.8765
DOGE,BUY,LIMIT,IOC,306,0.182585,0.181700,FILLED,306,306,1745514224213,55.87101
SOL,BUY,LIMIT,IOC,1.02,152.0237,151.2700,FILLED,1.02,1.02,1745514224213,155.06417399999998
SUI,BUY,LIMIT,IOC,1146.3,3.409340,3.375068,FILLED,72.7,1146.3,1745514227149,3908.1264419999998
HIFI,SELL,LIMIT,IOC,59,0.1681838,0.1702000,FILLED,59,59,1745514229269,9.9228442
CETUS,BUY,LIMIT,IOC,1349,0.1770131,0.1753200,FILLED,1349,1349,1745514229317,238.7906719
HIFI,SELL,LIMIT,IOC,19819,0.1676012,0.1703634,FILLED,181,19819,1745514231093,3321.6881828
CETUS,BUY,LIMIT,IOC,61,0.1770401,0.1748300,FILLED,61,61,1745514231093,10.7994461
MAV,BUY,LIMIT,IOC,6931,0.0612941,0.0607050,FILLED,752,6931,1745514232323,424.82940709999997
BTC,BUY,LIMIT,IOC,0.005,93695.91,93321.10,FILLED,0.005,0.005,1745514232323,468.47955
EOS,BUY,LIMIT,IOC,17696.0,0.686,0.683,FILLED,7999.4,17696.0,1745514234611,12139.456
1000BONK,BUY,LIMIT,IOC,354609,0.0157635,0.0156073,FILLED,53402,354609,1745514236478,5589.8789715
JELLYJELLY,SELL,LIMIT,IOC,61072,0.0231969,0.0236665,FILLED,9448,61072,1745514236512,1416.6810768
EOS,BUY,LIMIT,IOC,1033.9,0.686,0.683,FILLED,1033.9,1033.9,1745514237199,709.2554000000001
1000BONK,BUY,LIMIT,IOC,59597,0.0157705,0.0156186,FILLED,34597,59597,1745514239601,939.8744885
INIT,SELL,LIMIT,IOC,1023,0.6664378,0.6725650,FILLED,344,1023,1745514243465,681.7658693999999
INIT,SELL,LIMIT,IOC,329,0.6657857,0.6687000,FILLED,253,329,1745514245157,219.04349530000002
INIT,SELL,LIMIT,IOC,8,0.6653864,0.6688000,FILLED,8,8,1745514246245,5.3230912
INIT,SELL,LIMIT,IOC,1455,0.6629998,0.6673367,FILLED,163,1455,1745514247373,964.664709
HIFI,SELL,LIMIT,IOC,120,0.1671711,0.1682000,FILLED,34,120,1745514253125,20.060532
HIFI,SELL,LIMIT,IOC,455,0.1659687,0.1677000,FILLED,455,455,1745514255077,75.5157585
HIFI,SELL,LIMIT,IOC,23,0.1656378,0.1676000,FILLED,23,23,1745514256217,3.8096694
PERP,SELL,LIMIT,IOC,18.6,0.279726,0.283600,FILLED,18.6,18.6,1745514256217,5.2029036
ARC,BUY,LIMIT,IOC,1000,0.0549417,0.0540943,FILLED,431,1000,1745514257301,54.941700000000004
HIFI,SELL,LIMIT,IOC,2295,0.1654419,0.1676204,FILLED,91,2295,1745514258267,379.6891605
FORM,SELL,LIMIT,IOC,24.0,2.061729,2.089800,FILLED,24.0,24.0,1745514258267,49.48149600000001
NIL,SELL,LIMIT,IOC,87.0,0.381645,0.385700,FILLED,87.0,87.0,1745514258267,33.203115000000004
TRUMP,SELL,LIMIT,IOC,4.77,12.135164,12.247000,FILLED,4.77,4.77,1745514258267,57.884732279999994
INIT,SELL,LIMIT,IOC,659,0.6588133,0.6640000,FILLED,419,659,1745514260081,434.15796470000004
PYTH,BUY,LIMIT,IOC,42,0.1591311,0.1575900,FILLED,42,42,1745514260252,6.6835062
INIT,SELL,LIMIT,IOC,1478,0.6572864,0.6628027,FILLED,155,1478,1745514262081,971.4692992
BTC,SELL,LIMIT,IOC,0.019,92962.68,93319.90,FILLED,0.019,0.019,1745514262081,1766.29092
HIFI,SELL,LIMIT,IOC,449,0.1652180,0.1666000,FILLED,270,449,1745514265293,74.182882
HIFI,SELL,LIMIT,IOC,4544,0.1643020,0.1665000,FILLED,472,4544,1745514267460,746.588288
SOLV,SELL,LIMIT,IOC,2044,0.0314000,0.0317000,FILLED,1092,2044,1745514267472,64.18159999999999
POL,SELL,LIMIT,IOC,262,0.2495400,0.2516500,FILLED,115,262,1745514267472,65.37948
TURBO,SELL,LIMIT,IOC,55456,0.0047681,0.0048030,FILLED,7486,55456,1745514269125,264.4197536
ZEREBRO,SELL,LIMIT,IOC,69043,0.0723418,0.0727314,FILLED,62801,69043,1745514270363,4994.6948974
INIT,BUY,LIMIT,IOC,1814,0.6712167,0.6656442,FILLED,245,1814,1745514270446,1217.5870938
ZEREBRO,SELL,LIMIT,IOC,1492,0.0721642,0.0726200,FILLED,1492,1492,1745514271524,107.6689864
DOT,BUY,LIMIT,IOC,6.9,4.246,4.221,FILLED,6.9,6.9,1745514272037,29.297400000000003
TURBO,SELL,LIMIT,IOC,7014,0.0047344,0.0047697,FILLED,3486,7014,1745514272086,33.207081599999995
SUI,BUY,LIMIT,IOC,7516.5,3.414685,3.369393,FILLED,589.7,7516.5,1745514273054,25666.4798025
ZEREBRO,SELL,LIMIT,IOC,1417,0.0719976,0.0724200,FILLED,1417,1417,1745514273250,102.02059919999999
DOGE,BUY,LIMIT,IOC,1063,0.182587,0.181740,FILLED,1063,1063,1745514273250,194.089981
BTC,BUY,LIMIT,IOC,0.047,93690.37,93320.00,FILLED,0.047,0.047,1745514273379,4403.447389999999
1000PEPE,BUY,LIMIT,IOC,209178,0.0087953,0.0087389,FILLED,27382,209178,1745514273379,1839.7832634000001
LINK,BUY,LIMIT,IOC,118.04,15.139,15.065,FILLED,110.44,118.04,1745514273379,1787.00756
SEI,BUY,LIMIT,IOC,8503,0.2051724,0.2035000,FILLED,2251,8503,1745514273379,1744.5809172
